Transaction_ID,Client_ID,Transaction_Type,Amount,Department,Date
1,1102,income,720.45,Finance,2024-12-12
2,1435,income,641.17,Marketing,2024-07-27
3,1860,expense,114.39,Finance,2024-12-20
4,1270,expense,206.22,Sales,2024-09-19
5,1106,expense,317.29,Sales,2024-10-21
6,1071,income,200.83,Sales,2024-12-25
7,1700,expense,703.13,HR,2024-10-25
8,1020,expense,199.76,Sales,2024-11-01
9,1614,expense,74.38,Marketing,2024-10-03
10,1121,expense,254.61,Finance,2024-09-01
11,1466,income,1953.88,Finance,2024-11-11
12,1214,expense,128.02,Finance,2024-11-01
13,1330,income,473.58,Finance,2024-10-24
14,1458,expense,283.67,Marketing,2024-10-03
15,1087,expense,36.84,Finance,2024-09-05
16,1372,income,334.59,Marketing,2024-10-05
17,1099,expense,605.61,Marketing,2024-10-24
18,1871,income,359.97,Finance,2024-07-13
19,1663,expense,1028.28,Finance,2024-11-26
20,1130,expense,170.5,Finance,2024-09-02
21,1661,income,45.1,Marketing,2024-12-12
22,1308,income,1378.87,HR,2024-09-23
23,1769,expense,237.57,Marketing,2024-12-23
24,1343,income,429.49,HR,2024-08-25
25,1491,expense,785.12,Finance,2024-12-19
26,1413,expense,196.01,Marketing,2024-11-18
27,1805,expense,629.68,Finance,2024-11-09
28,1385,income,72.76,HR,2024-10-20
29,1191,expense,172.16,HR,2024-08-02
30,1955,expense,78.16,Marketing,2024-12-12
31,1276,income,833.61,Marketing,2024-08-22
32,1160,expense,125.93,Marketing,2024-10-09
33,1459,expense,631.87,Marketing,2024-11-29
34,1313,expense,1434.98,Sales,2024-09-27
35,1021,income,375.15,Sales,2024-12-26
36,1252,expense,388.3,Finance,2024-12-16
37,1747,income,309.05,HR,2024-07-29
38,1856,income,197.18,HR,2024-12-15
39,1560,expense,322.8,Finance,2024-08-20
40,1474,expense,461.67,Finance,2024-08-19
41,1058,income,2134.05,Finance,2024-10-19
42,1510,income,1388.42,Sales,2024-08-05
43,1681,income,990.81,Finance,2024-10-17
44,1475,income,1099.7,HR,2024-08-29
45,1699,income,315.41,Finance,2024-11-23
46,1975,income,535.66,Marketing,2024-07-20
47,1782,expense,1127.22,HR,2024-11-10
48,1189,expense,249.57,HR,2024-11-23
49,1957,expense,1631.97,HR,2024-11-01
50,1686,expense,268.74,Sales,2024-12-15
51,1957,income,459.5,Sales,2024-07-01
52,1562,expense,618.6,HR,2024-07-19
53,1875,expense,1503.82,Marketing,2024-09-25
54,1566,expense,140.26,HR,2024-12-01
55,1243,expense,685.47,Sales,2024-07-29
56,1831,expense,367.83,Marketing,2024-08-28
57,1504,expense,156.37,HR,2024-09-01
58,1130,income,749.41,Sales,2024-10-06
59,1484,expense,401.73,Marketing,2024-08-17
60,1818,expense,540.84,Finance,2024-08-31
61,1646,expense,194.97,Finance,2024-07-18
62,1020,expense,328.19,HR,2024-07-27
63,1840,income,480.32,Finance,2024-07-06
64,1166,income,259.52,Sales,2024-07-06
65,1273,expense,110.56,Marketing,2024-07-31
66,1387,expense,1630.38,HR,2024-10-13
67,1600,expense,358.17,Marketing,2024-10-02
68,1315,income,661.98,Marketing,2024-08-25
69,1013,income,264.7,Marketing,2024-12-29
70,1241,expense,219.35,Sales,2024-12-16
71,1776,expense,261.42,HR,2024-07-18
72,1345,expense,263.14,Finance,2024-09-25
73,1564,expense,392.83,Marketing,2024-07-23
74,1897,expense,392.05,Marketing,2024-12-11
75,1339,income,343.74,Marketing,2024-07-25
76,1091,expense,72.39,Sales,2024-07-07
77,1366,expense,342.66,Finance,2024-11-25
78,1955,expense,92.63,Marketing,2024-11-10
79,1454,expense,67.42,Sales,2024-07-18
80,1427,expense,1348.89,Sales,2024-10-14
81,1508,income,464.37,Marketing,2024-08-02
82,1775,expense,538.66,Marketing,2024-09-17
83,1942,income,256.91,Sales,2024-08-04
84,1034,expense,1198.34,Sales,2024-10-18
85,1205,income,507.96,Marketing,2024-09-03
86,1080,income,733.04,Sales,2024-09-01
87,1931,expense,229.88,Sales,2024-09-10
88,1561,income,1609.59,Marketing,2024-08-10
89,1871,expense,858.68,Marketing,2024-12-25
